Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
KEYS,Keysight Technologies Inc.,36.24,$6.69B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/keys,
KRC,Kilroy Realty Corporation,72.54,$7.09B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/krc,
KRC^H,Kilroy Realty Corporation,25.58,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/krc^h,
KRP,Kimbell Royalty Partners,19.75,$322.57M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/krp,
KMB,Kimberly-Clark Corporation,132.22,$47.04B,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/kmb,
KIM,Kimco Realty Corporation,21.9,$9.32B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/kim,
KIM^I,Kimco Realty Corporation,25.13,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kim^i,
KIM^J,Kimco Realty Corporation,24.98,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kim^j,
KIM^K,Kimco Realty Corporation,25.28,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kim^k,
KMI,"Kinder Morgan, Inc.",21.64,$48.31B,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/kmi,
KMI.WS,"Kinder Morgan, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kmi.ws,
KMI^A,"Kinder Morgan, Inc.",49.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kmi^a,
KND,"Kindred Healthcare, Inc.",7.95,$676.77M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/knd,
KFS,"Kingsway Financial Services, Inc.",5.8,$135.78M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kfs,
KGC,Kinross Gold Corporation,3.58,$4.46B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/kgc,
KEX,Kirby Corporation,70.1,$3.78B,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/kex,
KRG,Kite Realty Group Trust,21.25,$1.78B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/krg,
KKR,KKR & Co. L.P.,18.04,$8.17B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/kkr,
KKR^A,KKR & Co. L.P.,26.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kkr^a,
KKR^B,KKR & Co. L.P.,25.72,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kkr^b,
KFI,KKR Financial Holdings LLC,25.53,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/kfi,
KFN^,KKR Financial Holdings LLC,26.48,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kfn^,
KIO,KKR Income Opportunities Fund,16.93,$258.27M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kio,
KMG,"KMG Chemicals, Inc.",44.83,$532.92M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kmg,
KNX,"Knight Transportation, Inc.",31,$2.49B,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/knx,
KNL,"Knoll, Inc.",23.47,$1.16B,n/a,Consumer Durables,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/knl,
KNOP,KNOT Offshore Partners LP,22.6,$808.21M,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/knop,
KN,Knowles Corporation,18.75,$1.67B,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/kn,
KSS,Kohl&#39;s Corporation,37.69,$6.5B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/kss,
PHG,Koninklijke Philips N.V.,32.09,$29.6B,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/phg,
KOP,Koppers Holdings Inc.,42.5,$878.26M,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/kop,
KEP,Korea Electric Power Corporation,20.43,$26.23B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/kep,
KEF,"Korea Equity Fund, Inc.",8.81,$85.81M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kef,
KF,"Korea Fund, Inc. (The)",37.06,$251.52M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kf,
KFY,Korn/Ferry International,30.19,$1.73B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/kfy,
KOS,Kosmos Energy Ltd.,6.93,$2.69B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/kos,
KRA,Kraton Corporation,30.83,$954.81M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kra,
KR,Kroger Company (The),29.69,$27.14B,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/kr,
KRO,Kronos Worldwide Inc,16.23,$1.88B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kro,
KT,KT Corporation,16.9,$8.28B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/kt,
KYO,Kyocera Corporation,55.91,$20.56B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/kyo,
LB,"L Brands, Inc.",43.77,$12.48B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/lb,
SCX,L.S. Starrett Company (The),10.05,$70.95M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/scx,
LLL,"L3 Technologies, Inc.",164.74,$12.82B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/lll,
LQ,La Quinta Holdings Inc.,13.27,$1.55B,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/lq,
LH,Laboratory Corporation of America Holdings,143.51,$14.7B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/lh,
LADR,Ladder Capital Corp,14.6,$1.62B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ladr,
LW,"Lamb Weston Holdings, Inc.",42.19,$6.16B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/lw,
LDR,"Landauer, Inc.",48.1,$462.83M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ldr,
LCI,Lannett Co Inc,21.2,$788.42M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lci,
LPI,"Laredo Petroleum, Inc.",14.74,$3.58B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lpi,
LVS,Las Vegas Sands Corp.,56.67,$45B,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/lvs,
LHO,LaSalle Hotel Properties,28.65,$3.24B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lho,
LHO^H.CL,LaSalle Hotel Properties,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lho^h.cl,
LHO^I,LaSalle Hotel Properties,25.06,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lho^i,
LHO^J,LaSalle Hotel Properties,24.9484,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lho^j,
LFL,LATAM Airlines Group S.A.,12.91,$7.83B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/lfl,
LDF,"Latin American Discovery Fund, Inc. (The)",10.78,$73.24M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ldf,
LGI,Lazard Global Total Return and Income Fund,15,$144.08M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lgi,
LAZ,Lazard Ltd.,45.23,$5.87B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/laz,
LOR,"Lazard World Dividend & Income Fund, Inc.",10.56,$72.65M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lor,
LZB,La-Z-Boy Incorporated,26.3,$1.28B,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/lzb,
LCII,LCI Industries ,96.45,$2.39B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lcii,
LFGR,Leaf Group Ltd.,7.05,$141.92M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/lfgr,
LEA,Lear Corporation,134.64,$9.25B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/lea,
LEE,"Lee Enterprises, Incorporated",2.55,$144.28M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/lee,
BWG,Legg Mason BW Global Income Opportunities Fund Inc.,12.81,$268.88M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bwg,
LM,"Legg Mason, Inc.",35.65,$3.47B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/lm,
LMHA,"Legg Mason, Inc.",26.22,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/lmha,
LMHB,"Legg Mason, Inc.",23.53,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lmhb,
LEG,"Leggett & Platt, Incorporated",50.49,$6.71B,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/leg,
JBK,Lehman ABS Corporation,24.25,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/jbk,
KTH,Lehman ABS Corporation,31.9501,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/kth,
KTN,Lehman ABS Corporation,33.199,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ktn,
KTP,Lehman ABS Corporation,17.65,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ktp,
XKE,Lehman ABS Corporation,8.09,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/xke,
LDOS,"Leidos Holdings, Inc.",50.71,$7.63B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ldos,
LEJU,Leju Holdings Limited,3.15,$426.14M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/leju,
LC,LendingClub Corporation,5.23,$2.09B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/lc,
LEN,Lennar Corporation,50.64,$11.87B,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/len,
LEN.B,Lennar Corporation,n/a,n/a,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/len.b,
LII,"Lennox International, Inc.",165.87,$7.13B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lii,
LUK,Leucadia National Corporation,26.03,$9.37B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/luk,
LVLT,"Level 3 Communications, Inc.",57.76,$20.83B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/lvlt,
LXP,Lexington Realty Trust,10.15,$2.44B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lxp,
LXP^C,Lexington Realty Trust,50.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lxp^c,
LPL,"LG Display Co., Ltd.",13.53,$9.68B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lpl,
USA,Liberty All-Star Equity Fund,5.44,$1.03B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/usa,
ASG,"Liberty All-Star Growth Fund, Inc.",4.55,$119.83M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asg,
LPT,Liberty Property Trust,39.1,$5.75B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lpt,
LSI,"Life Storage, Inc.",83.94,$3.9B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lsi,
LITB,"LightInTheBox Holding Co., Ltd.",2.83,$195.02M,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/litb,
LNC,Lincoln National Corporation,65.17,$14.68B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/lnc,
LNC.WS,Lincoln National Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lnc.ws,
LNN,Lindsay Corporation,86.25,$919.68M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lnn,
LN,LINE Corporation,38.56,$8.4B,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/ln,
LGF.A,Lions Gate Entertainment Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lgf.a,
LGF.B,Lions Gate Entertainment Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lgf.b,
LAD,"Lithia Motors, Inc.",82.01,$2.06B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/lad,
LYV,"Live Nation Entertainment, Inc.",30.97,$6.34B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/lyv,
LYG,Lloyds Banking Group Plc,3.32,$59.31B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/lyg,
SCD,LMP Capital and Income Fund Inc.,14.15,$254.46M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/scd,
LMT,Lockheed Martin Corporation,269.56,$78.12B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/lmt,
L,Loews Corporation,47.09,$15.85B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/l,
LPX,Louisiana-Pacific Corporation,25.27,$3.66B,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/lpx,
LOW,"Lowe&#39;s Companies, Inc.",81.59,$70.66B,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/low,
LXU,Lsb Industries Inc.,9.14,$259.63M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lxu,
LKSD,"LSC Communications, Inc.",23.79,$806.65M,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/lksd,
LTC,"LTC Properties, Inc.",47.92,$1.9B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ltc,
LUB,"Luby&#39;s, Inc.",3.09,$89.75M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/lub,
LL,"Lumber Liquidators Holdings, Inc",23.19,$655.09M,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/ll,
LXFR,Luxfer Holdings PLC,11.62,$306.95M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lxfr,
LXFT,"Luxoft Holding, Inc.",61.35,$2.04B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/lxft,
LUX,"Luxottica Group, S.p.A.",54.6,$26.24B,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/lux,
LDL,"Lydall, Inc.",51.15,$880.35M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ldl,
WLH,Lyon William Homes,20.22,$645.74M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/wlh,
LYB,LyondellBasell Industries NV,90.69,$36.51B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lyb,
MTB,M&T Bank Corporation,154.19,$23.71B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mtb,
MTB.WS,M&T Bank Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mtb.ws,
MTB^,M&T Bank Corporation,1039.98,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mtb^,
MTB^C,M&T Bank Corporation,1037.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mtb^c,
MDC,"M.D.C. Holdings, Inc.",29.77,$1.54B,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/mdc,
MHO,"M/I Homes, Inc.",23.98,$593.8M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/mho,
MHO^A,"M/I Homes, Inc.",25.52,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mho^a,
MAC,Macerich Company (The),64.31,$9.25B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mac,
CLI,Mack-Cali Realty Corporation,26.89,$2.42B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cli,
MGU,Macquarie Global Infrastructure Total Return Fund Inc.,23,$286.77M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mgu,
MIC,Macquarie Infrastructure Company,80.23,$6.6B,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/mic,
MFD,Macquarie/First Trust Global,12.62,$107.81M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mfd,
BMA,Macro Bank Inc.,87.04,$5.09B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bma,
M,Macy&#39;s Inc,28.89,$8.82B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/m,
MCN,Madison Covered Call & Equity Strategy Fund,7.94,$152.99M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mcn,
MSP,Madison Strategic Sector Premium Fund,12.17,$70.57M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/msp,
MMP,Magellan Midstream Partners L.P.,77.08,$17.58B,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/mmp,
MGA,"Magna International, Inc.",40.69,$15.56B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mga,
MX,MagnaChip Semiconductor Corporation,9.2,$305.93M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/mx,
MH^A,"Maiden Holdings, Ltd.",25.73,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mh^a,
MH^C,"Maiden Holdings, Ltd.",26,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mh^c,
MHLA,"Maiden Holdings, Ltd.",26.15,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mhla,
MHNB,"Maiden Holdings, Ltd.",25.42,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mhnb,
MHNC,"Maiden Holdings, Ltd.",26.87,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mhnc,
MAIN,Main Street Capital Corporation,38.39,$2.12B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/main,
MSCA,Main Street Capital Corporation,26.2712,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/msca,
MMD,MainStay DefinedTerm Municipal Opportunities Fund,19.3,$531.8M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mmd,
MNK,Mallinckrodt plc,43.9,$4.6B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mnk,
MZF,Managed Duration Investment Grade Municipal Fund,13.25,$90.11M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mzf,
MANU,Manchester United Ltd.,16.95,$2.78B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/manu,
MTW,"Manitowoc Company, Inc. (The)",5.59,$785.29M,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/mtw,
MN,"Manning & Napier, Inc.",5.55,$83.16M,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/mn,
MAN,ManpowerGroup,98.31,$6.65B,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/man,
MFC,Manulife Financial Corp,17.6,$34.77B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/mfc,
MRO,Marathon Oil Corporation,16.14,$13.67B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mro,
MPC,Marathon Petroleum Corporation,50.3,$26.55B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/mpc,
MMI,"Marcus & Millichap, Inc.",24.03,$914.86M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/mmi,
MCS,Marcus Corporation (The),31.05,$860.83M,n/a,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/mcs,
MRIN,Marin Software Incorporated,1.8,$70.89M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mrin,
MPX,Marine Products Corporation,11.13,$389.08M,n/a,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/mpx,
HZO,"MarineMax, Inc.",21,$548.37M,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/hzo,
MKL,Markel Corporation,987.93,$13.79B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mkl,
VAC,Marriot Vacations Worldwide Corporation,99.49,$2.7B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/vac,
