Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
XXII,"22nd Century Group, Inc",1.28,$116.09M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii,
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.94,$1.25B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fax,
IAF,Aberdeen Australia Equity Fund Inc,6.14,$139.64M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf,
CH,"Aberdeen Chile Fund, Inc.",7.14,$66.81M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch,
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,13.37,$128.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe,
FCO,"Aberdeen Global Income Fund, Inc.",8.43,$73.71M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fco,
IF,"Aberdeen Indonesia Fund, Inc.",7.29,$67.83M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/if,
ISL,"Aberdeen Israel Fund, Inc.",17.5682,$70.24M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/isl,
ACU,Acme United Corporation.,27.52,$91.57M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu,
AIII,"ACRE Realty Investors, Inc.",1.18,$24.18M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii,
ATNM,"Actinium Pharmaceuticals, Inc.",1.46,$81.48M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm,
AE,"Adams Resources & Energy, Inc.",38.01,$160.31M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae,
ADK,Adcare Health Systems Inc,1.08,$21.52M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk,
ADK^A,Adcare Health Systems Inc,21.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a,
ACY,AeroCentury Corp.,10,$15.67M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy,
AIRI,Air Industries Group,3.4,$25.78M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi,
AXU,Alexco Resource Corp,1.57,$147.02M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu,
AAU,"Almaden Minerals, Ltd.",1.2,$108.06M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau,
APT,"Alpha Pro Tech, Ltd.",2.65,$40.84M,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt,
AAMC,Altisource Asset Management Corp,67,$99.19M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc,
DIT,AMCON Distributing Company,97.5,$66.2M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit,
ADGE,American DG Energy Inc.,0.3013,$15.27M,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/adge,
ALN,American Lorain Corporation,0.58,$22.2M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln,
AMS,American Shared Hospital Services,4.7,$25.7M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams,
USAS,Americas Silver Corporation,3.0148,$119.3M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/usas,
AMPE,"Ampio Pharmaceuticals, Inc.",0.7283,$41.69M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe,
APHB,AmpliPhi Biosciences Corporation,0.415,$6.84M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aphb,
AXN,"Aoxing Pharmaceutical Company, Inc.",0.4025,$30.67M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axn,
ARNC^,Arconic Inc.,88.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arnc^,
AKG,Asanko Gold Inc.,2.65,$538.69M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg,
AINC,Ashford Inc.,59,$118.9M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc,
ASB.WS,Associated Banc-Corp,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb.ws,
AST,"Asterias Biotherapeutics, Inc.",3.25,$159.1M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast,
AST.WS,"Asterias Biotherapeutics, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ast.ws,
AUXO,"Auxilio, Inc.",5.54,$51.96M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/auxo,
AWX,Avalon Holdings Corporation,2.2224,$8.45M,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx,
ASM,Avino Silver,1.88,$98.59M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm,
BTG,B2Gold Corp,2.86,$2.78B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg,
BTN,"Ballantyne Strong, Inc",6,$85.57M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn,
BKJ,"Bancorp of New Jersey, Inc",15.45,$97.76M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj,
BCV,Bancroft Fund Limited,21.1,$109.29M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv,
BCV^A,Bancroft Fund Limited,24.8001,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv^a,
BAA,BANRO CORPORATION,0.1457,$44.07M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa,
BHB,"Bar Harbor Bankshares, Inc.",31.39,$482.92M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb,
BRN,"Barnwell Industries, Inc.",1.8,$13.99M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn,
BGSF,BG Staffing Inc,14.38,$124.66M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/bgsf,
BPMX,BioPharmX Corporation,0.5058,$34.25M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmx,
BTX,"BioTime, Inc.",3.38,$374.69M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx,
BTX.WS,"BioTime, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/btx.ws,
BGI,Birks Group Inc.,1.45,$26.04M,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/bgi,
BZM,BlackRock Maryland Municipal Bond Trust,14.2764,$29.68M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bzm,
MHE,BlackRock Massachusetts Tax-Exempt Trust,14.149,$33.5M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mhe,
BLE,BlackRock Municipal Income Trust II,14.99,$352.12M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ble,
BLJ,Blackrock New Jersey Municipal Bond Trust,14.5256,$33.8M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/blj,
BFY,BlackRock New York Municipal Income Trust II,14.71,$73.62M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bfy,
BHV,BlackRock Virginia Municipal Bond Trust,15.9111,$25.42M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bhv,
BDR,"Blonder Tongue Laboratories, Inc.",0.55,$4.45M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr,
BRG,"Bluerock Residential Growth REIT, Inc.",12.27,$296.54M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brg,
BRG^A,"Bluerock Residential Growth REIT, Inc.",25.96,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^a,
BRG^C,"Bluerock Residential Growth REIT, Inc.",25.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^c,
BRG^D,"Bluerock Residential Growth REIT, Inc.",24.72,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^d,
BVX,Bovie Medical Corporation,2.69,$83.01M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx,
BWL.A,"Bowl America, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bwl.a,
BTI,British American Tobacco p.l.c.,66.2,$112.65B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/bti,
CJ,"C&J Energy Services, Inc.",35.71,$2.01B,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/cj,
CEI,"Camber Energy, Inc.",0.5,$11.88M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cei,
CANF,Can-Fite Biopharma Ltd,1.91,$31.24M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/canf,
ROX,"Castle Brands, Inc.",1.69,$275.08M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox,
CAW,"CCA Industries, Inc.",3.1,$21.72M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw,
CVM,Cel-Sci Corporation,0.0801,$17.3M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm,
CVM.WS,Cel-Sci Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvm.ws,
CEF,Central Fund of Canada Limited,12.95,$3.26B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cef,
CET,Central Securities Corporation,23.9,$594.67M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cet,
LEU,Centrus Energy Corp.,5.84,$52.56M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/leu,
CCF,Chase Corporation,95.35,$891M,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf,
CQH,"Cheniere Energy Partners LP Holdings, LLC",24.39,$5.65B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqh,
CQP,"Cheniere Energy Partners, LP",32.14,$10.86B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqp,
LNG,"Cheniere Energy, Inc.",47.45,$11.29B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng,
CVR,Chicago Rivet & Machine Co.,39.2588,$37.93M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr,
CPHI,"China Pharma Holdings, Inc.",0.255,$11.11M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphi,
CKX,"CKX Lands, Inc.",12.35,$23.99M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx,
GLV,Clough Global Dividend and Income Fund,13.34,$138.64M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/glv,
GLQ,Clough Global Equity Fund,12.51,$220.84M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/glq,
GLO,Clough Global Opportunities Fund,10.2,$526.06M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/glo,
MOC,Command Security Corporation,2.44,$24.03M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/moc,
CIX,CompX International Inc.,14.55,$180.7M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cix,
LODE,"Comstock Mining, Inc.",0.2206,$41.34M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode,
CTO,Consolidated-Tomoka Land Co.,53.63,$306.61M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cto,
MCF,Contango Oil & Gas Company,7.25,$182.94M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf,
CUO,Continental Materials Corporation,22.8,$38.35M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cuo,
CMT,Core Molding Technologies Inc,16.76,$130.62M,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/cmt,
CVRS,"Corindus Vascular Robotics, Inc.",1.27,$237.59M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cvrs,
CRMD,CorMedix Inc,1.55,$63.12M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crmd,
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",16.33,$213.35M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crf,
CLM,"Cornerstone Strategic Value Fund, Inc.",16.32,$468.34M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clm,
CVU,"CPI Aerostructures, Inc.",6.6,$57.76M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/cvu,
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.3,$172.56M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cik,
DHY,Credit Suisse High Yield Bond Fund,2.72,$271.99M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dhy,
CRHM,CRH Medical Corporation,8.2,$596.52M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/crhm,
CRVP,"Crystal Rock Holdings, Inc.",0.782,$16.7M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/crvp,
DXR,Daxor Corporation,7.4,$28.31M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxr,
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",14.7499,$71.35M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vcf,
VFL,Delaware Investments Florida Insured Municipal Income Fund,12.98,$58.78M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vfl,
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",14.5836,$167.78M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vmm,
DLA,"Delta Apparel, Inc.",18.01,$137.03M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dla,
DNN,Denison Mine Corp,0.62,$346.62M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/dnn,
DGSE,"DGSE Companies, Inc.",1.5,$40.31M,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/dgse,
DPW,Digital Power Corporation,0.77,$6.43M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dpw,
DSS,"Document Security Systems, Inc.",1.14,$15.56M,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/dss,
DMF,"Dreyfus Municipal Income, Inc.",8.91,$184.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dmf,
GRF,"Eagle Capital Growth Fund, Inc.",7.38,$26.49M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grf,
ESTE,"Earthstone Energy, Inc.",14.67,$328.61M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/este,
EVM,Eaton Vance California Municipal Bond Fund,11.42,$244.32M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evm,
EIA,Eaton Vance California Municipal Bond Fund II,11.54,$44.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eia,
CEV,Eaton Vance California Municipal Income Trust,12.27,$89.01M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cev,
EVV,Eaton Vance Limited Duration Income Fund,13.83,$1.61B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evv,
MAB,Eaton Vance Massachusetts Municipal Bond Fund,13.5492,$23.96M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mab,
MMV,Eaton Vance Massachusetts Municipal Income Trust,13.31,$36.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mmv,
MIW,Eaton Vance Michigan Municipal Bond Fund,13.37,$20.06M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/miw,
EMI,Eaton Vance Michigan Municipal Income Trust,13.03,$26.23M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emi,
EIM,Eaton Vance Municipal Bond Fund,12.4,$845.29M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eim,
EIV,Eaton Vance Municipal Bond Fund II,12.23,$122.46M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eiv,
EMJ,Eaton Vance New Jersey Municipal Bond Fund,12.5592,$32.39M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emj,
EVJ,Eaton Vance New Jersey Municipal Income Trust,12.06,$55.45M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evj,
ENX,Eaton Vance New York Municipal Bond Fund,12.38,$193.89M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/enx,
NYH,Eaton Vance New York Municipal Bond Fund II,11.78,$30.12M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nyh,
EVY,Eaton Vance New York Municipal Income Trust,12.84,$70.31M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evy,
EIO,Eaton Vance Ohio Municipal Bond Fund,12.7799,$32.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eio,
EVO,Eaton Vance Ohio Municipal Income Trust,13.64,$38.97M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evo,
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,12.8999,$38.18M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eip,
EVP,Eaton Vance Pennsylvania Municipal Income Trust,12.1099,$31.5M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evp,
ELMD,"Electromed, Inc.",4.88,$40.16M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elmd,
ELLO,Ellomay Capital Ltd.,8,$85.42M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ello,
ECF,Ellsworth Growth and Income Fund Ltd.,8.67,$111.93M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ecf,
EMAN,eMagin Corporation,2.3,$72.74M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman,
MSN,Emerson Radio Corporation,1.25,$33.83M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/msn,
UUUU,Energy Fuels Inc,2.06,$137.28M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uuuu,
UUUU.WS,Energy Fuels Inc,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/uuuu.ws,
ENRJ,"EnerJex Resources, Inc.",0.355,$2.99M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/enrj,
ENSV,ENSERVCO Corporation,0.3021,$15.43M,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv,
ESNC,"EnSync, Inc.",0.614,$29.48M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/esnc,
EGI,Entree Gold Inc,0.5297,$90.88M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/egi,
EVI,"EnviroStarm, Inc.",19.15,$198.57M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evi,
ERN,Erin Energy Corp.,2.45,$522.4M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ern,
ESP,Espey Mfg. & Electronics Corp.,23.35,$55.37M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esp,
EMX,Eurasian Minerals Inc.,0.9625,$71.38M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/emx,
EVBN,"Evans Bancorp, Inc.",37.8,$179.54M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbn,
EPM,"Evolution Petroleum Corporation, Inc.",8.15,$269.46M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm,
XRA,Exeter Resource Corporation,1.78,$157.82M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/xra,
FPP,FieldPoint Petroleum Corporation,0.42,$4.11M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp,
FPP.WS,FieldPoint Petroleum Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpp.ws,
FEN,First Trust Energy Income and Growth Fund,26.73,$518M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fen,
BDL,"Flanigan&#39;s Enterprises, Inc.",24.5,$45.54M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bdl,
FSI,Flexible Solutions International Inc.,1.59,$18.22M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fsi,
FTF,Franklin Limited Duration Income Trust,11.96,$320.47M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftf,
